title,date_released,original_price,discount_price,review
The Beast Inside,17-Oct-19,44,6.6,"Very Positive<br>85% of the 2,948 user reviews for this game are positive."
Fallout 4 Far Harbor,10-Nov-15,63.07,25.22,"Very Positive<br>85% of the 2,397 user reviews for this game are positive."
Cooking Companions,7-Oct-21,32,21.12,Very Positive<br>96% of the 54 user reviews for this game are positive.
"The Sims™ 4 Bundle - City Living, Vampires, Vintage Glamour Stuff",,257,112.18,Very Positive<br>87% of the 127 user reviews for games in this bundle are positive.
Car Mechanic Simulator 2018,28-Jul-17,38,12.54,"Very Positive<br>90% of the 36,776 user reviews for this game are positive."
Space Crew,15-Oct-20,39,15.6,"Mostly Positive<br>78% of the 1,073 user reviews for this game are positive."
Chinese Parents,28-Sep-18,23.5,15.04,"Very Positive<br>91% of the 18,850 user reviews for this game are positive."
Disgaea 4 Complete+,10-Sep-20,70,35,Very Positive<br>93% of the 404 user reviews for this game are positive.
Saviors of Sapphire Wings / Stranger of Sword City Revisited,16-Mar-21,80,48,Mixed<br>66% of the 89 user reviews for this game are positive.
X-Morph: Defense,30-Aug-17,38,7.6,"Very Positive<br>91% of the 1,876 user reviews for this game are positive."
DSGAME SERIES BUNDLE,,70.94,70.94,"Mostly Positive<br>78% of the 24,874 user reviews for games in this bundle are positive."
Bad Boys Bundle,,78,31.59,"Very Positive<br>86% of the 22,086 user reviews for games in this bundle are positive."
"The Sims™ 4 Bundle - Get to Work, Dine Out, Cool Kitchen Stuff",,257,112.18,Mixed<br>61% of the 75 user reviews for games in this bundle are positive.
King's Bounty Franchise Bundle,,262,204.52,"Mostly Positive<br>76% of the 8,033 user reviews for games in this bundle are positive."
"The Sims™ 4 Everyday Stuff Pack Bundle  — Perfect Patio Stuff, Laundry Day Stuff, Toddler Stuff, Romantic Garden Stuff, Fitness Stuff",,195,109.7,Mostly Positive<br>76% of the 50 user reviews for games in this bundle are positive.
Car Mechanic Simulator VR,8-Jun-21,39,31.2,Mostly Positive<br>72% of the 110 user reviews for this game are positive.
Farming Simulator 22 - Year 1 Season Pass,22-Nov-21,159,151.05, 
Assassin’s Creed® Liberation HD,15-Jan-14,70,17.5,"Mixed<br>56% of the 1,861 user reviews for this game are positive."
The Suicide of Rachel Foster,19-Feb-20,30,6,"Mostly Positive<br>73% of the 2,423 user reviews for this game are positive."
Car Mechanic Simulator 2018 - Platinum Edition,,230.5,85.98,"Very Positive<br>89% of the 37,597 user reviews for games in this bundle are positive."
Sunblaze,3-Jun-21,32,19.2,Very Positive<br>93% of the 97 user reviews for this game are positive.
Across the Obelisk,8-Apr-21,36,28.8,Very Positive<br>93% of the 746 user reviews for this game are positive.
Conquest of Elysium 5,17-Aug-21,51,45.9,Very Positive<br>88% of the 389 user reviews for this game are positive.
Disgaea 2 PC,30-Jan-17,38,7.6,"Very Positive<br>91% of the 1,047 user reviews for this game are positive."
Ryse: Son of Rome,10-Oct-14,23.5,5.87,"Very Positive<br>85% of the 22,713 user reviews for this game are positive."
The Painscreek Killings,27-Sep-17,38,15.2,"Very Positive<br>89% of the 2,007 user reviews for this game are positive."
XCOM: Enemy Unknown Complete Pack,7-Mar-14,95,19,"Very Positive<br>94% of the 33,892 user reviews for games in this bundle are positive."
R-Type Final 2,30-Apr-21,70,56,Mostly Positive<br>76% of the 358 user reviews for this game are positive.
RUNNING WITH RIFLES,2-Apr-15,31,7.75,"Very Positive<br>88% of the 10,018 user reviews for this game are positive."
The Survive & Thrive Bundle,,98,53.15,"Very Positive<br>90% of the 24,290 user reviews for games in this bundle are positive."
Age of Wonders: Planetfall,6-Aug-19,80,20,"Very Positive<br>80% of the 3,539 user reviews for this game are positive."
Transport Fever,8-Nov-16,51,12.75,"Very Positive<br>82% of the 8,440 user reviews for this game are positive."
【豪华版】嗜血印本体+全部服装DLC,,262.5,101.5,"Very Positive<br>86% of the 17,380 user reviews for games in this bundle are positive."
Fallout 3,28-Oct-08,23,6.9,"Mostly Positive<br>77% of the 13,298 user reviews for this game are positive."
Gold Rush: The Game,13-Oct-17,39,19.5,"Mostly Positive<br>71% of the 9,944 user reviews for this game are positive."
Assassin's Creed Freedom Cry,25-Feb-14,45,11.25,"Mostly Positive<br>75% of the 1,542 user reviews for this game are positive."
Party Games Bundle,,103,36.34,"Very Positive<br>91% of the 15,752 user reviews for games in this bundle are positive."
Repair Bundle,,83,53.19,"Very Positive<br>92% of the 50,509 user reviews for games in this bundle are positive."
Animal Revolt Battle Simulator,12-Jun-20,39.99,31.99,"Overwhelmingly Positive<br>97% of the 1,724 user reviews for this game are positive."
Brutal Legend,26-Feb-13,31,7.75,"Very Positive<br>94% of the 8,291 user reviews for this game are positive."
Super Mega Baseball 3,13-May-20,75,37.5,Very Positive<br>92% of the 993 user reviews for this game are positive.
The Legend of Heroes: Trails of Cold Steel IV Digital Deluxe Edition,,192.5,107.8,"Very Positive<br>94% of the 1,121 user reviews for games in this bundle are positive."
The Sims™ 4 Dine Out,18-Jun-20,79,59.25,Mixed<br>53% of the 26 user reviews for this game are positive.
Fallout 4 Nuka-World,10-Nov-15,41.87,16.74,"Mixed<br>51% of the 2,288 user reviews for this game are positive."
Hell Architect,18-Aug-21,44,30.8,Mixed<br>62% of the 149 user reviews for this game are positive.
Jupiter Hell,5-Aug-21,44,35.2,Very Positive<br>92% of the 836 user reviews for this game are positive.
Disciples: Liberation,21-Oct-21,65,58.5, 
The Infinity Collection,,310,180.39,"Very Positive<br>90% of the 20,219 user reviews for games in this bundle are positive."
The Escapists 1 & 2 Ultimate Collection,,155.5,49.49,"Very Positive<br>90% of the 29,829 user reviews for games in this bundle are positive."
killer7: Digital Limited Edition (Game + Art Book + Soundtrack),,70,18.9,"Overwhelmingly Positive<br>95% of the 1,335 user reviews for games in this bundle are positive."
Disciples: Liberation,21-Oct-21,65,58.5, 
DARIUSBURST Chronicle Saviours,3-Dec-15,95,28.5,Very Positive<br>84% of the 521 user reviews for this game are positive.
Medal of Honor™: Above and Beyond,10-Dec-20,249,199.2,"Mixed<br>63% of the 1,499 user reviews for this game are positive."
The Sims™ 4 Tiny Living Stuff,18-Jun-20,39,29.25,Positive<br>92% of the 39 user reviews for this game are positive.
Iconoclasts,23-Jan-18,39,11.7,"Very Positive<br>87% of the 2,832 user reviews for this game are positive."
"The Sims™ 4 Starter Bundle — Seasons, Parenthood, Tiny Living Stuff",,257,118.5,Very Positive<br>87% of the 160 user reviews for games in this bundle are positive.
The Crytek Action pack,,150,64.51,"Very Positive<br>83% of the 81,468 user reviews for games in this bundle are positive."
Prinny Presents NIS Classics Volume 1: Phantom Brave PC / Soul Nomad & the World Eaters Digital Deluxe Edition,,111.5,55.2,Very Positive<br>89% of the 419 user reviews for games in this bundle are positive.
Metal Unit,27-Jan-21,32,17.6,"Very Positive<br>84% of the 1,021 user reviews for this game are positive."
Assault Spy,2-Oct-18,39,15.6,Very Positive<br>91% of the 419 user reviews for this game are positive.
Phantom Brave PC,25-Jul-16,38,5.7,Very Positive<br>89% of the 354 user reviews for this game are positive.
Victoria Collection,,162,43.16,"Very Positive<br>91% of the 11,238 user reviews for games in this bundle are positive."
Mr. Prepper in the Endzone,,98,75.68,"Mostly Positive<br>79% of the 6,699 user reviews for games in this bundle are positive."
XCOM 2: War of the Chosen,3-Dec-18,119,29.75,"Very Positive<br>83% of the 3,035 user reviews for this game are positive."
Shelter Manager,8-Oct-21,32,28.8,Mostly Positive<br>78% of the 92 user reviews for this game are positive.
XCOM®: Chimera Squad,23-Apr-20,59,29.5,"Mostly Positive<br>73% of the 16,685 user reviews for this game are positive."
Gold Rush: The Game - Parker's Edition,,75,33.74,"Mostly Positive<br>71% of the 10,122 user reviews for games in this bundle are positive."
Stranded Sails - Explorers of the Cursed Islands,17-Oct-19,44,15.4,Mostly Positive<br>71% of the 433 user reviews for this game are positive.
Assassin’s Creed® Chronicles: China,21-Apr-15,31,9.3,"Mostly Positive<br>73% of the 2,718 user reviews for this game are positive."
GunSoul Girl,25-Feb-21,5.5,4.07,"Mostly Positive<br>74% of the 1,214 user reviews for this game are positive."
Inscryption: Beginner's Deck,,84.5,71.64,"Overwhelmingly Positive<br>95% of the 9,940 user reviews for games in this bundle are positive."
Rebel Cops & This Is the Police Bundle,,87.8,21.61,"Very Positive<br>81% of the 11,913 user reviews for games in this bundle are positive."
Beat Cop,30-Mar-17,31,6.2,"Very Positive<br>82% of the 2,816 user reviews for this game are positive."
The Sims™ 4 Bundle - City Living + Dine Out + Laundry Day,,257,118.5,Mostly Positive<br>79% of the 99 user reviews for games in this bundle are positive.
Birthdays the Beginning,9-May-17,39,9.75,Mixed<br>59% of the 652 user reviews for this game are positive.
Monster Energy Supercross - The Official Videogame 4,11-Mar-21,80,40,Mixed<br>64% of the 280 user reviews for this game are positive.
Zeus + Poseidon,15-Dec-16,39,19.5,Overwhelmingly Positive<br>95% of the 954 user reviews for this game are positive.
Victoria II,30-Aug-10,38,9.5,"Very Positive<br>92% of the 10,777 user reviews for this game are positive."
Crusader Kings II: Royal Collection,,391,175.95,"Very Positive<br>89% of the 67,377 user reviews for games in this bundle are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Mech Armada,10-Aug-21,32,27.2,Very Positive<br>86% of the 91 user reviews for this game are positive.
Apsulov: End of Gods,8-Aug-19,39,7.8,Very Positive<br>88% of the 860 user reviews for this game are positive.
Lucy -The Eternity She Wished For-,28-Feb-16,23,9.2,"Overwhelmingly Positive<br>95% of the 6,537 user reviews for this game are positive."
The Black & White Indie Games Bundle,,150.5,111.76,"Overwhelmingly Positive<br>96% of the 28,475 user reviews for games in this bundle are positive."
The Sims™ 4 Laundry Day Stuff,18-Jun-20,39,29.25,Mostly Positive<br>76% of the 26 user reviews for this game are positive.
This Is the Police 2,31-Jul-18,32,8,"Mostly Positive<br>77% of the 3,718 user reviews for this game are positive."
Killing Floor,14-May-09,38,9.5,"Overwhelmingly Positive<br>96% of the 34,666 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
CMS Bundle,,82,46.93,"Very Positive<br>90% of the 43,889 user reviews for games in this bundle are positive."
"The Sims™ 4 Stuff Bundle - Fitness, Cool Kitchen, Laundry Day, Perfect Patio",,156,87.76,Mostly Positive<br>73% of the 49 user reviews for games in this bundle are positive.
Paradox To the Moon Bundle,,225,39.94,"Very Positive<br>82% of the 32,475 user reviews for games in this bundle are positive."
"Peace, Death! 2",7-Oct-21,9.99,8.99,Very Positive<br>96% of the 139 user reviews for this game are positive.
Dungeons & Dragons: Dark Alliance,21-Jun-21,156,117,"Mixed<br>50% of the 3,422 user reviews for this game are positive."
Crysis Trilogy,,386,225.62,"Very Positive<br>83% of the 24,721 user reviews for games in this bundle are positive."
Werewolf: The Apocalypse — Heart of the Forest,13-Oct-20,32,16,Very Positive<br>88% of the 381 user reviews for this game are positive.
The Sims™ 4 Bundle - Cats & Dogs + Parenthood + Laundry Day,,257,118.5,Mostly Positive<br>77% of the 166 user reviews for games in this bundle are positive.
The Mean Greens - Plastic Warfare,8-Dec-15,23.5,2.35,"Very Positive<br>82% of the 7,707 user reviews for this game are positive."
Fallout 4 - Automatron,10-Nov-15,41.87,16.74,"Mostly Positive<br>73% of the 2,343 user reviews for this game are positive."
"""KUUKIYOMI: Consider It"" Complete Collection",,37.5,25.5,Very Positive<br>80% of the 372 user reviews for games in this bundle are positive.
Fallout 2: A Post Nuclear Role Playing Game,19-Aug-09,23,6.9,"Very Positive<br>94% of the 7,657 user reviews for this game are positive."
Deliver Us The Moon,10-Oct-19,44,25.52,"Very Positive<br>88% of the 3,176 user reviews for this game are positive."
Return of the Obra Dinn ~ Game + Soundtrack,,51.5,37.85,"Overwhelmingly Positive<br>96% of the 13,057 user reviews for games in this bundle are positive."
